Date,Price,Open,High,Low,Change %,
11-May-07,1.3524,1.3476,1.3531,1.3461,0.36%,TRUE
10-May-07,1.3475,1.3534,1.3563,1.3464,-0.43%,TRUE
9-May-07,1.3533,1.3538,1.3564,1.3519,-0.04%,TRUE
8-May-07,1.3539,1.3599,1.362,1.3515,-0.43%,TRUE
7-May-07,1.3597,1.3594,1.3627,1.3591,0.04%,TRUE
4-May-07,1.3591,1.3553,1.3609,1.3535,0.29%,TRUE
3-May-07,1.3552,1.3594,1.3622,1.3546,-0.30%,TRUE
2-May-07,1.3593,1.3602,1.3612,1.356,-0.07%,TRUE
1-May-07,1.3603,1.3652,1.3671,1.359,-0.37%,TRUE
30-Apr-07,1.3653,1.3623,1.3678,1.3589,0.01%,TRUE
27-Apr-07,1.3651,1.3592,1.3681,1.3586,0.43%,TRUE
26-Apr-07,1.3593,1.3638,1.3653,1.3584,-0.34%,TRUE
25-Apr-07,1.3639,1.3633,1.3665,1.3621,0.04%,TRUE
24-Apr-07,1.3634,1.3578,1.3643,1.3547,0.41%,TRUE
23-Apr-07,1.3579,1.3598,1.3602,1.3541,-0.08%,TRUE
20-Apr-07,1.359,1.3625,1.3636,1.3585,-0.25%,TRUE
19-Apr-07,1.3624,1.3613,1.3628,1.356,0.07%,TRUE
18-Apr-07,1.3614,1.3571,1.3619,1.3555,0.31%,TRUE
17-Apr-07,1.3572,1.3526,1.3594,1.3525,0.33%,TRUE
16-Apr-07,1.3527,1.3567,1.357,1.3525,0.00%,TRUE
13-Apr-07,1.3527,1.3485,1.3552,1.3482,0.30%,TRUE
12-Apr-07,1.3486,1.3436,1.3505,1.3432,0.38%,TRUE
11-Apr-07,1.3435,1.3428,1.3441,1.3406,0.04%,TRUE
10-Apr-07,1.3429,1.3357,1.3453,1.3349,0.57%,TRUE
9-Apr-07,1.3353,1.3368,1.3381,1.3339,-0.19%,TRUE
6-Apr-07,1.3378,1.3423,1.3428,1.3364,-0.34%,TRUE
5-Apr-07,1.3424,1.3372,1.3439,1.3353,0.37%,TRUE
4-Apr-07,1.3374,1.3322,1.338,1.3321,0.38%,TRUE
3-Apr-07,1.3323,1.3371,1.338,1.3318,-0.37%,TRUE
2-Apr-07,1.3372,1.3353,1.3382,1.3331,0.13%,TRUE
30-Mar-07,1.3354,1.3335,1.3399,1.3287,0.16%,TRUE
29-Mar-07,1.3333,1.3311,1.3353,1.3301,0.16%,TRUE
28-Mar-07,1.3312,1.336,1.3372,1.3308,-0.37%,TRUE
27-Mar-07,1.3361,1.333,1.3368,1.3323,0.23%,TRUE
26-Mar-07,1.3331,1.3264,1.3346,1.3253,0.37%,TRUE
23-Mar-07,1.3282,1.3332,1.3342,1.3281,-0.37%,TRUE
22-Mar-07,1.3331,1.3397,1.3401,1.331,-0.49%,TRUE
21-Mar-07,1.3396,1.3314,1.341,1.3288,0.61%,TRUE
20-Mar-07,1.3315,1.331,1.3323,1.3268,0.03%,TRUE
19-Mar-07,1.3311,1.3316,1.3324,1.328,-0.04%,TRUE
16-Mar-07,1.3316,1.3281,1.3338,1.3273,0.27%,TRUE
15-Mar-07,1.328,1.3231,1.3281,1.3193,0.36%,TRUE
14-Mar-07,1.3232,1.3186,1.3244,1.3175,0.36%,TRUE
13-Mar-07,1.3185,1.3187,1.3221,1.3155,-0.01%,TRUE
12-Mar-07,1.3186,1.3125,1.32,1.3109,0.53%,TRUE
9-Mar-07,1.3116,1.3136,1.3159,1.3086,-0.16%,TRUE
8-Mar-07,1.3137,1.3176,1.3181,1.3116,-0.29%,TRUE
7-Mar-07,1.3175,1.3137,1.3185,1.3109,0.30%,TRUE
6-Mar-07,1.3136,1.3086,1.314,1.3081,0.37%,TRUE
5-Mar-07,1.3087,1.3185,1.3193,1.307,-0.78%,TRUE
2-Mar-07,1.319,1.3167,1.3201,1.3141,0.18%,TRUE
1-Mar-07,1.3166,1.3225,1.3238,1.3153,-0.45%,TRUE
28-Feb-07,1.3226,1.3228,1.3236,1.318,-0.02%,TRUE
27-Feb-07,1.3229,1.3192,1.3258,1.3159,0.29%,TRUE
26-Feb-07,1.3191,1.3189,1.3196,1.3149,0.18%,TRUE
23-Feb-07,1.3167,1.3122,1.3185,1.3101,0.35%,TRUE
22-Feb-07,1.3121,1.3136,1.314,1.3079,-0.11%,TRUE
21-Feb-07,1.3135,1.3143,1.3164,1.311,-0.07%,TRUE
20-Feb-07,1.3144,1.3153,1.3187,1.3128,-0.06%,TRUE
19-Feb-07,1.3152,1.3148,1.316,1.3121,0.12%,TRUE
16-Feb-07,1.3136,1.3131,1.3143,1.3092,0.03%,TRUE
15-Feb-07,1.3132,1.3135,1.3171,1.3117,-0.03%,TRUE
14-Feb-07,1.3136,1.3032,1.3149,1.3022,0.82%,TRUE
13-Feb-07,1.3029,1.2958,1.3042,1.2953,0.56%,TRUE
12-Feb-07,1.2957,1.3017,1.3034,1.2939,-0.38%,TRUE
9-Feb-07,1.3006,1.3034,1.3045,1.2982,-0.22%,TRUE
8-Feb-07,1.3035,1.3019,1.3044,1.2973,0.12%,TRUE
7-Feb-07,1.302,1.2982,1.3024,1.2971,0.30%,TRUE
6-Feb-07,1.2981,1.2932,1.299,1.2911,0.39%,TRUE
5-Feb-07,1.293,1.2958,1.2964,1.2912,-0.22%,TRUE
2-Feb-07,1.2959,1.3015,1.3062,1.2949,-0.42%,TRUE
1-Feb-07,1.3014,1.3021,1.3055,1.3001,-0.05%,TRUE
31-Jan-07,1.302,1.2965,1.3036,1.2923,0.45%,TRUE
30-Jan-07,1.2962,1.296,1.298,1.2942,0.02%,TRUE
