,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
0,2010-01-04,NIFTY Index,5200.9,5238.45,5167.1,5232.2
1,2010-01-05,NIFTY Index,5277.15,5288.35,5242.4,5277.9
2,2010-01-06,NIFTY Index,5278.15,5310.85,5260.05,5281.8
3,2010-01-07,NIFTY Index,5281.8,5302.55,5244.75,5263.1
4,2010-01-08,NIFTY Index,5264.25,5276.75,5234.7,5244.75
5,2010-01-11,NIFTY Index,5263.8,5287.2,5227.8,5249.4
6,2010-01-12,NIFTY Index,5251.1,5300.5,5200.95,5210.4
7,2010-01-13,NIFTY Index,5212.6,5239.2,5169.55,5233.95
8,2010-01-14,NIFTY Index,5234.5,5272.85,5232.5,5259.9
9,2010-01-15,NIFTY Index,5259.9,5279.85,5242.45,5252.2
10,2010-01-18,NIFTY Index,5253.65,5292.5,5228.95,5274.85
11,2010-01-19,NIFTY Index,5274.2,5287.8,5218.65,5225.65
12,2010-01-20,NIFTY Index,5226.1,5256.7,5201.4,5221.7
13,2010-01-21,NIFTY Index,5220.2,5220.35,5085.45,5094.15
14,2010-01-22,NIFTY Index,5094.15,5094.15,4954.85,5036.0
15,2010-01-25,NIFTY Index,5034.55,5035.7,4983.05,5007.9
16,2010-01-27,NIFTY Index,5008.5,5008.5,4833.05,4853.1
17,2010-01-28,NIFTY Index,4863.0,4929.9,4824.95,4867.25
18,2010-01-29,NIFTY Index,4866.15,4893.7,4766.0,4882.05
19,2010-02-01,NIFTY Index,4882.05,4918.8,4827.15,4899.7
20,2010-02-02,NIFTY Index,4907.85,4951.15,4814.1,4830.1
21,2010-02-03,NIFTY Index,4831.0,4949.15,4831.0,4931.85
22,2010-02-04,NIFTY Index,4931.3,4931.3,4832.35,4845.35
23,2010-02-05,NIFTY Index,4819.65,4827.0,4692.35,4718.65
24,2010-02-06,NIFTY Index,4712.75,4768.15,4712.75,4757.25
25,2010-02-08,NIFTY Index,4755.35,4799.05,4675.4,4760.4
26,2010-02-09,NIFTY Index,4760.55,4810.4,4739.35,4792.65
27,2010-02-10,NIFTY Index,4793.0,4826.85,4748.1,4757.2
28,2010-02-11,NIFTY Index,4757.25,4843.8,4757.25,4826.85
29,2010-02-15,NIFTY Index,4827.9,4845.6,4783.9,4801.95
30,2010-02-16,NIFTY Index,4801.8,4880.0,4791.35,4855.75
31,2010-02-17,NIFTY Index,4858.65,4929.7,4857.6,4914.0
32,2010-02-18,NIFTY Index,4915.1,4922.05,4873.7,4887.75
33,2010-02-19,NIFTY Index,4887.3,4887.3,4805.55,4844.9
34,2010-02-22,NIFTY Index,4849.35,4912.05,4845.9,4856.4
35,2010-02-23,NIFTY Index,4856.6,4884.1,4833.15,4870.05
36,2010-02-24,NIFTY Index,4869.55,4880.55,4834.65,4858.6
37,2010-02-25,NIFTY Index,4859.0,4880.15,4835.6,4859.75
38,2010-02-26,NIFTY Index,4858.5,4992.0,4858.45,4922.3
39,2010-03-02,NIFTY Index,4935.6,5029.45,4935.35,5017.0
40,2010-03-03,NIFTY Index,5015.8,5093.25,5015.1,5088.1
41,2010-03-04,NIFTY Index,5096.95,5096.95,5049.0,5080.25
42,2010-03-05,NIFTY Index,5080.55,5118.65,5068.05,5088.7
43,2010-03-08,NIFTY Index,5092.15,5147.1,5092.15,5124.0
44,2010-03-09,NIFTY Index,5121.05,5131.8,5094.35,5101.5
45,2010-03-10,NIFTY Index,5101.6,5137.4,5092.05,5116.25
46,2010-03-11,NIFTY Index,5116.35,5152.6,5102.1,5133.4
47,2010-03-12,NIFTY Index,5131.8,5158.1,5122.1,5137.0
48,2010-03-15,NIFTY Index,5134.45,5151.05,5101.2,5128.9
49,2010-03-16,NIFTY Index,5128.95,5209.25,5125.7,5198.1
50,2010-03-17,NIFTY Index,5198.45,5260.5,5177.15,5231.9
51,2010-03-18,NIFTY Index,5232.55,5255.65,5214.4,5245.9
52,2010-03-19,NIFTY Index,5246.8,5269.95,5237.1,5262.8
53,2010-03-22,NIFTY Index,5260.95,5260.95,5187.05,5205.2
54,2010-03-23,NIFTY Index,5205.85,5243.6,5193.4,5225.3
55,2010-03-25,NIFTY Index,5225.3,5267.3,5202.95,5260.4
56,2010-03-26,NIFTY Index,5260.55,5293.75,5260.55,5282.0
57,2010-03-29,NIFTY Index,5283.9,5329.55,5242.15,5302.85
58,2010-03-30,NIFTY Index,5302.95,5325.0,5251.35,5262.45
59,2010-03-31,NIFTY Index,5260.4,5293.9,5235.15,5249.1
60,2010-04-01,NIFTY Index,5249.2,5298.6,5249.2,5290.5
61,2010-04-05,NIFTY Index,5291.4,5377.55,5291.4,5368.4
62,2010-04-06,NIFTY Index,5369.65,5388.65,5351.7,5366.0
